CM3,Profitable
-16.253160122330407,False
-15.616854769246821,False
-16.308377653913155,False
-2.217431091992051,False
-4.690674531364081,False
-12.394716024666643,False
-41.161779986899276,False
-14.673352860617147,False
9.690358005066638,True
-6.667422435310499,False
-9.413427479520323,False
-3.8348369598197323,False
9.686225602814886,True
-20.52965715453863,False
1.45478504475793,True
5.311953156439081,True
-15.97581076368953,False
-6.6729182250954935,False
-22.932790231398243,False
4.103875893388029,True
-40.73834948791238,False
0.943719696663802,True
-13.388857627757428,False
-28.01147211557526,False
-14.141543711547854,False
-7.197099246891554,False
-22.870248920608855,False
-17.199256681278243,False
-37.91289585214082,False
-11.2089484056036,False
-16.660132869932433,False
-19.766295556970544,False
-10.710990908275953,False
-7.721289129301912,False
1.8558572789102712,True
-7.064960875241724,False
-33.60509838406255,False
-6.153457038919264,False
20.933200685127268,True
-19.267536724777827,False
4.9998158661175935,True
-18.748256550509844,False
8.469207035624656,True
6.93856532451349,True
-26.972907119833124,False
-24.86836872982296,False
-4.858006462317363,False
-20.289676673869824,False
-44.241642633378355,False
-69.09553993834672,False
-17.220841281190182,False
-14.523767746669002,False
-13.898256518040888,False
-43.26583324349559,False
-39.819175191639424,False
-32.96095491235458,False
-15.421459524734779,False
-19.09502157198518,False
-14.939310863028695,False
-10.996796895430862,False
-17.76140966482173,False
-44.31298565192103,False
-25.196238865884705,False
-17.279330895781865,False
-35.57666414900817,False
-20.173625053512367,False
-22.252293945739467,False
-22.000608987257955,False
14.217701385878538,True
-25.700312147495005,False
-25.428051693633492,False
-3.281122626897613,False
-62.396248112976906,False
6.65694533399985,True
-18.724238510226932,False
-13.396209039700956,False
-34.5283428295718,False
-34.8572438340929,False
10.640082009032295,True
-12.448534372555002,False
-12.297879247947186,False
-13.603963601141231,False
-22.376324061290223,False
-2.1938639000730973,False
-35.67479027139666,False
-5.360612559482888,False
-0.3491355297073575,False
-10.54155438747813,False
-29.140421825049014,False
-16.31554579751939,False
-3.382026532563284,False
-36.570898329442514,False
-30.30363340214644,False
-21.85088237645289,False
-10.993565247687545,False
16.352230175144204,True
-43.67183256871,False
-36.80321440083246,False
-20.109568138582826,False
-27.67062779424983,False
-5.946744743196781,False
-11.325652100030794,False
-35.704046638301534,False
-22.50189296757603,False
-18.947742652097503,False
-5.611485304508836,False
-19.503505454928252,False
12.711350203997522,True
-40.964600422683034,False
-35.166599029068365,False
11.368504426784135,True
-22.441212209296083,False
-15.088781302219086,False
-20.71326982228408,False
-18.91959811022857,False
-40.47587102097246,False
-16.04325344403366,False
-0.1074581674075894,False
-26.842674227849823,False
-24.570156989372435,False
-3.516082702211886,False
6.219403345857138,True
-45.54954472145748,False
-9.783362341607642,False
-17.748596258718578,False
-32.41269444934055,False
-45.505814315535865,False
-13.156739064601599,False
-19.785246246323254,False
-15.162815619153207,False
-25.180503658825558,False
-33.93474940040291,False
-22.407026492940986,False
4.923559162926168,True
-0.2909202683243919,False
-15.163608225762548,False
-19.727381423456695,False
-18.26265426267165,False
11.397026220922822,True
-8.543619991466521,False
-27.01115832698952,False
-34.64046518103942,False
-22.312932779695466,False
-25.986759624032132,False
-36.57740538286034,False
-22.61478780432224,False
-13.380920831965202,False
-22.597003577646372,False
-8.31234106157467,False
-1.3161919406429519,False
-3.1014366731173553,False
-50.04739369799785,False
-8.387420012359108,False
-47.54382821464489,False
-15.780246350165136,False
-17.641957501461395,False
-48.639870408429104,False
-10.849714731921278,False
-23.688224723627826,False
-28.88642594068595,False
-12.695210883652944,False
-22.45242940979709,False
6.905754593467098,True
-2.6416070626929375,False
-16.985577559293,False
10.760903749614545,True
-28.55325328028166,False
-32.36174238530636,False
-50.78049730756994,False
-21.30679454634554,False
-28.978703581414386,False
-13.988262733092753,False
-15.909855197644713,False
-12.952582797139705,False
7.6170783861437705,True
2.3741669268178214,True
-9.350446868767435,False
-26.908672319366538,False
-14.782324813681804,False
-6.326450470388693,False
-36.77543696890882,False
-17.471079289745006,False
9.187773785028046,True
-28.829483381432805,False
-11.729246987734111,False
-4.4959751327299,False
-19.412561751739354,False
-50.19001778475723,False
-19.28472249287656,False
-8.281756170768151,False
-29.984909946347482,False
-22.390997148170218,False
-34.059154668500106,False
-22.307266256217993,False
-12.765898057927874,False
-32.36973919098108,False
-7.402087532827105,False
-12.773411853271462,False
-23.164645372829717,False
-11.595409806152254,False
-26.449892436805712,False
-11.27378064189805,False
-32.898648410941405,False
-28.0871967045403,False
-27.553563276872193,False
-12.260144708556904,False
-11.472133233743932,False
-28.75875044879848,False
-21.853548339371578,False
1.6265840760711328,True
-32.907336021915704,False
-41.13613200050531,False
-3.8791543909066917,False
-49.56554976655828,False
-22.571962875180944,False
-7.4845486184862615,False
-20.13328599815709,False
-1.1192130356823107,False
-34.832343997787305,False
-6.924941472471456,False
-21.814236912551465,False
3.4807651152356307,True
-47.466171262934004,False
3.832778370903302,True
-43.07264058876324,False
11.151800814168503,True
-27.05560510798458,False
-23.398023385337094,False
-21.376637383475916,False
-9.932688358277968,False
-13.796175222574817,False
-25.907904814026285,False
-24.617308118056872,False
-32.959596016715764,False
-8.215512047570414,False
-20.974885950420905,False
-30.781657108336184,False
-6.099134470514155,False
-27.30138139046934,False
-43.27611889620918,False
25.341997049644576,True
-4.574359000534908,False
-50.341948155982,False
-19.70762116991924,False
-14.14840574943695,False
-8.332059895364253,False
10.127219695271659,True
-18.705234631852903,False
-65.63515972305223,False
-18.04229241711658,False
-9.92902013943337,False
-58.34602018751976,False
-11.268937084992519,False
-1.2333892218721942,False
-17.64804106842414,False
-6.430545594389038,False
-27.451980374496607,False
